ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(broadcast_arrays)
       36    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:1018(__call__)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1300(is_dir)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:2111(clip)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:480(broadcast_arrays)
       14    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(amin)
        1    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_methods.py:127(_clip)
       48    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:989(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        5    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:589(_from_parts)
        7    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:569(_parse_args)
      171    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\numeric.py:574(_argwhere_dispatcher)
       42    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:753(_extendLine_pretty)
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:957(__new__)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:944(parse)
       14    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:2829(amin)
      258    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      2/1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:436(_parse_sub)
        8    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:56(parse_parts)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:410(<lambda>)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_methods.py:108(_clip_dep_invoke_with_casting)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:1223(__init__)
      2/1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_parse.py:494(_parse)
        1    0.000    0.000    0.000    0.000 {built-in method nt.mkdir}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:546(<listcomp>)
       14    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:64(_make_options_dict)
       48    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:984(<genexpr>)
        4    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\stride_tricks.py:340(_broadcast_to)
      171    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method from_euler}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:622(_code)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tokenize.py:297(detect_encoding)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(nanmin)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\lib\nanfunctions.py:236(nanmin)
        2    0.000    0.000    0.000    0.000 {method 'getvalue' of '_io.StringIO' objects}
       41    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:398(select_from)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:1285(exists)
       42    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:739(_extendLine)
       72    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
      171    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\multiarray.py:891(bincount)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\tokenize.py:321(read_or_stop)
      171    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       97    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      177    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:3148(_ndim_dispatcher)
        2    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      3/1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:87(_compile)
        2    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
      171    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:597(_transpose_dispatcher)
       11    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.round}
       13    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:621(__str__)
      171    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\fromnumeric.py:1888(_nonzero_dispatcher)
        8    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:631(__fspath__)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\fnmatch.py:80(translate)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\sre_compile.py:560(_compile_info)
       14    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\arrayprint.py:403(_get_formatdict)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\ntpath.py:103(join)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\PycharmProjects\Disseration\lib\site-packages\numpy\core\_methods.py:93(_clip_dep_is_scalar_nan)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
       14    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:853(__truediv__)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
        6    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\ntpath.py:150(splitdrive)
        2    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:615(_make_child)
        1    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\ntpath.py:489(normpath)
        8    0.000    0.000    0.000    0.000 C:\Users\Admin\AppData\Local\Programs\Python\Python310\lib\pathlib.py:147(splitroot)
